sex	outcome	geno	or1	lci1	uci1	p1	n1	n1cases	or2	lci2	uci2	p2	n2	n2cases	n2bottom	n2bottomcases	n2bottomcasesperc	n2top	n2topcases	n2topcasesperc	X	Y
Males	Haemochromatosis	C282Y homozygous	1.33354163639615	1.18206897770103	1.50442430141492	2.88200588055418e-06	1294	430	2.53227946013266	1.72681517285117	3.71344852942315	1.96745881279941e-06	518	176	259	62	23.9382239382239	259	114	44.015444015444	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Males	Haemochromatosis	H63D heterozygous	1.12679289622709	0.982739949045216	1.29196155322818	0.087169264855068	52951	210	1.48483393378861	0.963484961569824	2.28828876305235	0.0732251015506461	21176	87	10586	34	0.321178915548838	10590	53	0.500472143531634	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Males	Haemochromatosis	H63D homozygous	1.80171835285459	1.26087220759983	2.5745583124498	0.00122552485049475	4674	35	5.77076771928352	1.26225246544545	26.3828045352025	0.0238005361726776	1868	13	933	2	0.214362272240086	935	11	1.17647058823529	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Males	Haemochromatosis	C282Y/H63D compound heterozygous	1.16525175520881	0.979535054838403	1.38617974549285	0.0842455430287265	4954	137	1.54236859573922	0.866892934401198	2.74416919404909	0.140459485144144	1982	51	991	20	2.01816347124117	991	31	3.12815338042381	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Males	Haemochromatosis	HFE wild-type (no C282Y or H63D)	0.969375256183486	0.811917204542689	1.1573697195271	0.73089871435278	122845	122	0.992988037127042	0.582062245449873	1.69402026945644	0.979400414395561	49134	54	24569	27	0.109894582604095	24565	27	0.109912477101567	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	All participants	1.12515395439519	1.06597023190694	1.18762361574246	1.89153393287308e-05	206412	1339	1.43695220008406	1.20439646560946	1.71441189366291	5.70425117217954e-05	82566	514	41283	210	0.508683961921372	41283	304	0.7363805924957	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	C282Y heterozygous	1.10536667004334	0.964623533520914	1.26664489594502	0.149396252947945	29531	210	1.6244874902578	1.03538708860892	2.54876619096112	0.0347443215848838	11812	81	5906	31	0.524889942431426	5906	50	0.846596681341009	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	C282Y homozygous	1.64813093917896	1.24601326268837	2.18002141230679	0.000462934536894222	1294	60	4.79057267307002	1.57645907376284	14.5576798775924	0.005732870184916	518	23	259	4	1.54440154440154	259	19	7.33590733590734	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	H63D heterozygous	1.1399678964443	1.02526018704403	1.26750928334627	0.015476175239533	52951	349	1.50018074032392	1.0481174723395	2.14722329608285	0.0266318766925259	21176	126	10586	50	0.472321934630644	10590	76	0.717658168083097	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	H63D homozygous	1.23027157052565	0.843098901076321	1.79524387389355	0.282455790472028	4674	28	1.65243381211168	0.52554925848809	5.19558815716949	0.390161403968394	1868	13	933	5	0.535905680600214	935	8	0.855614973262032	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	C282Y/H63D compound heterozygous	0.947371753869515	0.681415059018576	1.31713150179344	0.747775895316714	4954	36	1.45750442853477	0.448041746483301	4.74134201973884	0.531339327989532	1982	12	991	5	0.504540867810293	991	7	0.70635721493441	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	HFE wild-type (no C282Y or H63D)	1.07932345142767	1.00324750090188	1.16116821796666	0.0406637673521481	122845	728	1.26356859284677	0.998816092739464	1.59849806229066	0.0511612110620816	49134	284	24569	125	0.508771215759697	24565	159	0.647262365153674	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Females	Haemochromatosis	All participants	1.17855135216708	1.08662103053989	1.27825916364303	7.34314843257134e-05	244919	593	1.66480924964782	1.27264354375433	2.17782100205111	0.000199847589446325	97967	229	48983	85	0.17352959189923	48984	144	0.293973542381186	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Females	Haemochromatosis	C282Y heterozygous	1.18276331199431	0.991375269574155	1.41109940416474	0.0623473988343141	34902	126	1.81577678451794	1.00601059282722	3.27734653561503	0.0477158825801533	13958	49	6977	17	0.243657732549807	6981	32	0.458387050565822	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Females	Haemochromatosis	C282Y homozygous	1.31919488901547	1.16618109550529	1.49228551372675	1.06251411300616e-05	1596	341	2.29723219132842	1.51894937182935	3.47429337590093	8.13023726012015e-05	638	127	319	44	13.7931034482759	319	83	26.0188087774295	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Females	Haemochromatosis	H63D heterozygous	1.169223547306	0.976377804346361	1.40015852213072	0.0891218171075652	62787	120	2.09116654821783	1.1530050754906	3.79267847587277	0.0151525260758322	25116	50	12558	16	0.127408823060997	12558	34	0.270743749004619	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Females	Haemochromatosis	H63D homozygous	0.812399689856558	0.488535861274366	1.35096173770624	0.42331047915727	5584	15	0.426321434510493	0.0803696799678204	2.26142452720798	0.316596307936374	2234	7	1117	5	0.44762757385855	1117	2	0.17905102954342	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Females	Haemochromatosis	C282Y/H63D compound heterozygous	1.1560479565244	0.9089875678288	1.47025869779106	0.237165040548007	5745	68	1.77367058875361	0.814090942619989	3.8643193195162	0.149213515924332	2298	29	1149	10	0.870322019147084	1149	19	1.65361183637946	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Females	Haemochromatosis	HFE wild-type (no C282Y or H63D)	0.986572174805462	0.764540041603703	1.27308525797907	0.917229175690136	145710	59	0.909349361832784	0.414632871172901	1.99433358847439	0.812532122057468	58284	25	29142	13	0.0446091551712305	29142	12	0.0411776816965205	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	All participants	0.994130380882564	0.936203997039912	1.05564088309653	0.847590389389734	244919	1070	1.02179083291457	0.846198962445584	1.23381917558826	0.822697697671607	97967	435	48983	214	0.436886266663945	48984	221	0.451167728237792	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	C282Y heterozygous	0.986851424873176	0.842053777416743	1.1565481456088	0.870131364959998	34902	153	0.91984711990177	0.566465321464541	1.49368141690302	0.735527787842327	13958	66	6977	34	0.487315465099613	6981	32	0.458387050565822	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	C282Y homozygous	1.03928367687481	0.6592395871514	1.63841884205654	0.868227924741169	1596	18	1.00564231108869	0.18633910630657	5.42729048076446	0.994780628895755	638	6	319	3	0.940438871473354	319	3	0.940438871473354	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	H63D heterozygous	0.959171641226469	0.849741299560297	1.08269450691539	0.500017456631485	62787	262	1.10315528856092	0.739684042632258	1.64523164018686	0.630226435113572	25116	97	12558	46	0.366300366300366	12558	51	0.406115623506928	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	H63D homozygous	1.11045843690951	0.765162429113496	1.61157669690106	0.581375149879549	5584	28	1.20505035636148	0.362460970033729	4.00635235631524	0.760894234823078	2234	11	1117	5	0.44762757385855	1117	6	0.53715308863026	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	C282Y/H63D compound heterozygous	0.893429951810528	0.616112868696377	1.29556956094927	0.552306303460366	5745	29	0.790619487985452	0.188272604455974	3.32007504006536	0.748279990084241	2298	8	1149	4	0.348128807658834	1149	4	0.348128807658834	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	HFE wild-type (no C282Y or H63D)	1.00016209364076	0.925315815730627	1.08106248326255	0.996741294143626	145710	638	1.01333858301764	0.795112811531949	1.29145835526628	0.914720355494923	58284	263	29142	130	0.446091551712305	29142	133	0.456385972136435	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
All	Haemochromatosis	All participants	1.0994410950754	1.04509646796342	1.15661162255779	0.000246903018338335	451331	1474	1.31648123659509	1.11844723197598	1.54957944975643	0.000946825158514228	180520	594	90265	254	0.281393674181576	90255	340	0.376710431555039	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
All	Haemochromatosis	C282Y heterozygous	1.16234399968236	1.04715235707332	1.29020726016757	0.00472370110697502	64433	347	1.60290305154825	1.14053275827544	2.25271757783411	0.00658133393396911	25770	142	12886	54	0.419059444358218	12884	88	0.683017696367588	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
All	Haemochromatosis	C282Y homozygous	1.07775160362726	0.991080363856934	1.17200235367472	0.080026189900041	2890	771	1.2466615933335	0.950551724415559	1.63501373820388	0.111055265470365	1156	295	578	138	23.8754325259516	578	157	27.1626297577855	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
All	Haemochromatosis	H63D heterozygous	1.15637835066273	1.0392851514808	1.28666409596652	0.00764342931298977	115738	330	1.5016780400171	1.07773950664924	2.09237661044889	0.0162898746010867	46292	147	23146	58	0.250583254125983	23146	89	0.384515683055388	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
All	Haemochromatosis	H63D homozygous	1.28373956345273	0.971499113186411	1.69633429861668	0.0789782038808873	10258	50	3.45853020605001	1.09681405669369	10.9056144140034	0.0341993836765704	4104	17	2052	4	0.194931773879142	2052	13	0.633528265107212	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
All	Haemochromatosis	C282Y/H63D compound heterozygous	1.21630709418926	1.06021245375346	1.39538348388345	0.00520019312774715	10699	205	1.81564554178368	1.16520634679269	2.82917162481391	0.00839759041442457	4280	89	2140	31	1.44859813084112	2140	58	2.71028037383178	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
All	Haemochromatosis	HFE wild-type (no C282Y or H63D)	1.10872252455878	0.959208380914719	1.28154180147148	0.162568081059152	268555	181	1.26947892695034	0.82903192468197	1.94392603950591	0.27240176838908	107416	86	53707	38	0.0707542778408774	53709	48	0.0893704965648215	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	All participants	1.00600874241123	0.966612518118129	1.04701063853195	0.768813680401291	451331	2409	0.991778138079616	0.876164900969247	1.12264697442747	0.896128572673923	180520	1008	90265	504	0.558355951919349	90255	504	0.558417816187469	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	C282Y heterozygous	1.01036059526016	0.911625345288604	1.11978954702196	0.844252962406052	64433	363	1.05967822640916	0.767418996668023	1.46323970139016	0.724777977476962	25770	149	12886	72	0.558745925810958	12884	77	0.597640484321639	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	C282Y homozygous	1.08497982853257	0.862033991058162	1.36558562717179	0.487068747220436	2890	78	1.11867222050641	0.551525013666967	2.26903133298033	0.755954613702483	1156	33	578	16	2.7681660899654	578	17	2.94117647058824	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	H63D heterozygous	0.929914449115245	0.858890616680657	1.00681142147677	0.0730470250831818	115738	611	0.749807515407133	0.588436691452881	0.955432110755856	0.0198736366466501	46292	269	23146	153	0.66102134278061	23146	116	0.501166508251966	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	H63D homozygous	0.875342620867863	0.672850494699955	1.13877408123108	0.321259221054319	10258	56	0.549207300221837	0.229163793505271	1.31621428500232	0.178993125524467	4104	22	2052	14	0.682261208576998	2052	8	0.389863547758285	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	C282Y/H63D compound heterozygous	1.07429998253829	0.842133791354397	1.37047160953558	0.563993420330158	10699	65	0.988588951469898	0.454834765699934	2.14871023208703	0.976884876193148	4280	26	2140	13	0.607476635514019	2140	13	0.607476635514019	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	HFE wild-type (no C282Y or H63D)	1.04476972100988	0.99081859272695	1.10165854572318	0.10544220040266	268555	1366	1.12857307786899	0.955942186351557	1.33237889307072	0.153283246216135	107416	564	53707	264	0.491556035526095	53709	300	0.558565603530135	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Males	Haemochromatosis	All participants	1.09727737569332	1.02764225324862	1.17163111520789	0.00551806537984223	206412	881	1.31043476994953	1.05570222710314	1.62663224743288	0.014225308408604	82555	338	41273	145	0.351319264410147	41282	193	0.467516108715663	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Males	Haemochromatosis	C282Y heterozygous	1.132477971756	0.992897297751997	1.29168078049592	0.0637697691515522	29531	221	1.5410437237412	1.00044634738631	2.37375623858933	0.0497596227637781	11810	88	5905	34	0.575783234546994	5905	54	0.914479254868755	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Males	Haemochromatosis	C282Y homozygous	1.07806614658836	0.958660727790084	1.21234403655926	0.209446658658123	1294	430	1.1083809441895	0.760052179479746	1.61634733852525	0.592932144447447	517	171	259	83	32.046332046332	258	88	34.1085271317829	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Males	Haemochromatosis	H63D heterozygous	1.14625729592032	1.00246103416227	1.31068015980148	0.0459403272271341	52951	210	1.55810070597462	1.00724050673348	2.41022654840565	0.0463257647536503	21177	86	10589	33	0.311644159032959	10588	53	0.500566679259539	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Males	Haemochromatosis	H63D homozygous	1.25897049866504	0.900365838616264	1.76040299234902	0.178175107235672	4674	35	2.2173356212442	0.668819519626998	7.35112704243496	0.192844599009553	1870	13	935	4	0.427807486631016	935	9	0.962566844919786	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Males	Haemochromatosis	C282Y/H63D compound heterozygous	1.15080711974103	0.970922356496325	1.36401949958773	0.105291201328061	4954	137	1.64176088758783	0.943244402125939	2.85756141879898	0.0795410948260339	1982	56	991	21	2.11907164480323	991	35	3.53178607467205	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Males	Haemochromatosis	HFE wild-type (no C282Y or H63D)	1.27120456419777	1.06722205800375	1.51417507904579	0.00716548890457529	122845	122	1.84822473589102	1.03989959054695	3.28486971762608	0.036318917842735	49135	51	24569	18	0.0732630550693964	24566	33	0.134332003582187	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	All participants	1.02762197610691	0.974063063149166	1.08412582894148	0.318412553455605	206412	1339	1.00085280101757	0.846412187675173	1.1834734233401	0.992046207391095	82555	552	41273	275	0.666295156639934	41282	277	0.670994622353568	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	C282Y heterozygous	0.987205646992644	0.862206562699331	1.1303265732553	0.852112264130078	29531	210	0.897179043967064	0.580347545390923	1.38697965266908	0.625431050613968	11810	82	5905	43	0.728196443691787	5905	39	0.660457239627434	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	C282Y homozygous	1.09538606274868	0.840576761859619	1.42743730365512	0.500042721262595	1294	60	1.03115497147458	0.469085192360581	2.26671102075506	0.939145976729459	517	28	259	13	5.01930501930502	258	15	5.81395348837209	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	H63D heterozygous	0.942373513990668	0.848237916003949	1.0469560757845	0.268985908855724	52951	349	0.782543609394847	0.564706475726742	1.08441203869077	0.140712810077443	21177	148	10589	83	0.783832278779866	10588	65	0.613902531167359	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	H63D homozygous	0.893448342042977	0.615347099119266	1.29723523689616	0.553726947356566	4674	28	0.67593403411822	0.145784989367794	3.13397710189952	0.616766702222046	1870	7	935	4	0.427807486631016	935	3	0.320855614973262	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	C282Y/H63D compound heterozygous	1.02589990399035	0.739599473817601	1.42302780121633	0.878269565413621	4954	36	0.925442851800646	0.326005327583498	2.62708734945307	0.884272384638943	1982	15	991	8	0.807265388496468	991	7	0.70635721493441	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Males	Liver fibrosis/cirrhosis	HFE wild-type (no C282Y or H63D)	1.08436444061544	1.00858936219398	1.1658324826205	0.028422531441483	122845	728	1.17249946365172	0.935146873551438	1.47009526647149	0.167901873767459	49135	305	24569	140	0.569823761650861	24566	165	0.671660017910934	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Females	Haemochromatosis	All participants	1.10308449472423	1.01825515082088	1.19498084691257	0.0162563797220933	244919	593	1.36300145234546	1.06338419409756	1.74703834174668	0.0144752230617357	97959	257	48978	108	0.220507166482911	48981	149	0.30419958759519	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Females	Haemochromatosis	C282Y heterozygous	1.21454981233879	1.02229534482731	1.44295995684238	0.0270495946381064	34902	126	1.66939266124936	0.959013900491556	2.90597649940713	0.069982742996824	13961	54	6981	20	0.286491906603638	6980	34	0.487106017191977	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Females	Haemochromatosis	C282Y homozygous	1.08719689556624	0.963780257708471	1.22641761986207	0.17385993578786	1596	341	1.39923625306399	0.944196279872901	2.07357530804093	0.0941546407052057	638	131	319	57	17.8683385579937	319	74	23.1974921630094	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Females	Haemochromatosis	H63D heterozygous	1.17716783401348	0.985801549308233	1.40568262487353	0.0715430827848403	62787	120	1.41956609110936	0.851251391422393	2.3673005499119	0.179348253798177	25114	61	12557	25	0.199092139842319	12557	36	0.286692681372939	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Females	Haemochromatosis	H63D homozygous	1.30952697710044	0.800546160451696	2.14211370745469	0.282821898723247	5584	15	34196928.7012037	0	Inf	0.993367114344362	2233	3	1117	0	0	1116	3	0.268817204301075	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Females	Haemochromatosis	C282Y/H63D compound heterozygous	1.36143615730421	1.07528893763671	1.72373056723611	0.0103775925574084	5745	68	2.17065370825985	1.02375802512974	4.60239373516522	0.043255426304703	2298	33	1149	10	0.870322019147084	1149	23	2.00174064403829	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Females	Haemochromatosis	HFE wild-type (no C282Y or H63D)	0.82874174734927	0.641479829407663	1.07066949312143	0.150585466168621	145710	59	0.798533708769822	0.405487635875592	1.57256603561971	0.515253244552573	58280	34	29141	19	0.0652002333482036	29139	15	0.0514774014207763	ferritin21hunt_nohfe_grs_64	hh_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	All participants	0.979305027633842	0.922232800280535	1.03990916052562	0.494852256855153	244919	1070	0.974063501766419	0.810856271899576	1.1701206962989	0.778814824805918	97959	460	48978	232	0.47368206133366	48981	228	0.465486617259754	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	C282Y heterozygous	1.04418848987057	0.890930085988763	1.22381050940504	0.59338961441715	34902	153	1.30113069734484	0.80087524268945	2.11386368479556	0.28770595111676	13961	67	6981	29	0.415413264575276	6980	38	0.544412607449857	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	C282Y homozygous	1.06408829861152	0.675920117484915	1.67517414847062	0.788472122268352	1596	18	1.48966744522479	0.30370939383915	7.306685740968	0.623267505498501	638	7	319	3	0.940438871473354	319	4	1.25391849529781	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	H63D heterozygous	0.91292271821565	0.80854956627828	1.03076907612539	0.141355879173064	62787	262	0.712698047354913	0.496102440000565	1.02385811023813	0.0668862785870677	25114	121	12557	70	0.557457991558493	12557	51	0.406147965278331	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	H63D homozygous	0.8476799807817	0.582489531795815	1.23360388572605	0.387985905184912	5584	28	0.490781904222194	0.166479437511847	1.44682659379374	0.196926887654735	2233	15	1117	10	0.895255147717099	1116	5	0.448028673835125	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	C282Y/H63D compound heterozygous	1.10682343834554	0.763470649615425	1.60459098760134	0.592197405299372	5745	29	0.989467625164995	0.295102979970598	3.31764247635588	0.986314224144325	2298	11	1149	5	0.435161009573542	1149	6	0.522193211488251	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
Females	Liver fibrosis/cirrhosis	HFE wild-type (no C282Y or H63D)	1.00072295562504	0.925876348659672	1.08162006229519	0.98546224122085	145710	638	1.09192266481812	0.856153729795331	1.39261801292221	0.478575723539632	58280	262	29141	125	0.428948903606602	29139	137	0.470160266309757	ferritin21hunt_nohfe_grs_64	liverfibcir_ever_2021v2_bin
